gen,gensd,train,trainsd,m1,m1sd,m2,m2sd,P,D,N,eps,gamma,T,zeta,solver,lingen,lingensd,quadgen,quadgensd,a
0.26325,0.07741568,0.0,0.0,0.9697276,0.20334417,-0.0007204926,0.021363102000000002,40,30,12589,0.0,1.0,100,0.0001,auto,0.28649998,0.07995467,0.40800002,0.07432025,1.0
0.26375002,0.08294388,0.0,0.0,0.9227831,0.21110305,0.0008520637599999999,0.02294486,40,30,15848,0.0,1.0,100,0.0001,auto,0.29075,0.091627985,0.41724998,0.07243057,1.0
0.26000002,0.07952987,0.0,0.0,0.90429306,0.2223638,-0.0029604752000000002,0.02101917,40,30,19952,0.0,1.0,100,0.0001,auto,0.28725,0.0935745,0.41375,0.0804965,1.0
0.25575,0.08498935,0.0,0.0,0.9647674999999999,0.23544589,-0.0012878695,0.020842196,40,30,25118,0.0,1.0,100,0.0001,auto,0.292,0.08781230400000001,0.4065,0.07362234599999999,1.0
0.27325,0.08889988,0.0,0.0,0.90244275,0.18945947,0.0016570899,0.019618832,40,30,31622,0.0,1.0,100,0.0001,auto,0.30275002,0.093266755,0.42150003,0.08131881,1.0
0.25175,0.06930503,0.0,0.0,0.9118573,0.18775544,-7.076472e-05,0.021276043999999997,40,30,39810,0.0,1.0,100,0.0001,auto,0.2755,0.08499852599999999,0.43125,0.082110815,1.0
0.2535,0.073145404,0.0,0.0,0.9585535,0.18342872,0.0022637276000000003,0.019979527,40,30,50118,0.0,1.0,100,0.0001,auto,0.28499997,0.08261355,0.42375,0.083394766,1.0
0.25625,0.071970046,0.0,0.0,0.9443110999999998,0.20994802,0.0021022933,0.023846087999999998,40,30,63095,0.0,1.0,100,0.0001,auto,0.2855,0.08323011,0.41724998,0.08059893,1.0
0.26100004,0.07560754,0.0,0.0,0.9578211,0.21855652,0.0010185777000000001,0.023954142,40,30,79432,0.0,1.0,100,0.0001,auto,0.28625003,0.085905105,0.41599998,0.08097222,1.0
0.24700001,0.07282514,0.0,0.0,0.9359725,0.23089963,0.0005590695,0.019585013000000002,40,30,100000,0.0,1.0,100,0.0001,auto,0.27275002,0.07882694,0.40275002,0.07540681,1.0
0.254,0.08005623,0.0,0.0,0.92608964,0.22480728,-0.0035178948,0.021960372000000002,40,30,125892,0.0,1.0,100,0.0001,auto,0.28825,0.08641867,0.41649997,0.08611184,1.0
0.24025002,0.07347577,0.0,0.0,0.9493231,0.1948426,-0.001688585,0.022448719,40,30,158489,0.0,1.0,100,0.0001,auto,0.27875,0.08414088,0.4275,0.07782192,1.0
0.25375,0.07692326,0.0,0.0,0.94677263,0.21704501,-0.0022782616,0.019556148,40,30,199526,0.0,1.0,100,0.0001,auto,0.28550002,0.08102314,0.41824996,0.082147345,1.0
0.27175003,0.0833408,0.0,0.0,0.91008925,0.22219412,0.0008983314,0.023232497,40,30,251188,0.0,1.0,100,0.0001,auto,0.30150002,0.09258915,0.42474997,0.08496285,1.0
