gen,gensd,train,trainsd,m0,m0sd,m1,m1sd,m2,m2sd,q0,q0sd,q1,q1sd,N,D,P,eps,gamma,T,zeta,solver,lingen,lingensd,quadgen,quadgensd
0.106565915,0.016631538,0.0018563652,0.00022504701,-0.04860107,0.23016417,1.2602991,0.2241194,0.010621014,0.029683618,2.996234,0.5121617,1.6537724,0.2940436,1000,100,1128,0.1,1.0,20,0.0001,auto,0.00093826186,0.00013254111,0.7408715,0.13600288
0.044436324,0.00494064,0.005228793,0.00052634766,-0.033729102,0.11105124,1.3751913,0.19059397,-0.004913766,0.014823569,1.2745904,0.12010104,1.7915467,0.24653818,1000,100,1438,0.1,1.0,20,0.0001,auto,0.0007280603,0.00011188628,0.7421462,0.11347083
0.026250353,0.004115226,0.0073867515,0.0007013405,-0.021547344,0.096010834,1.2711585,0.25807858,-0.0014382832,0.015963208,0.77686745,0.10375774,1.6555474,0.3354625,1000,100,1832,0.1,1.0,20,0.0001,auto,0.0005586219,7.143572e-05,0.6120715,0.12371131
0.018987833,0.0019679207,0.00935886,0.0006024511,0.033627212,0.101770036,1.3251867,0.20217146,0.0022079137,0.015069555,0.5789298,0.060704954,1.7250531,0.26141703,1000,100,2335,0.1,1.0,20,0.0001,auto,0.00041147607,6.0716327e-05,0.5542421,0.08270727
0.015581228,0.0012116014,0.010950162,0.0005443882,0.0046525453,0.076802924,1.3597189,0.14769913,0.0019028186,0.007205547,0.47290102,0.041724462,1.7708143,0.19464079,1000,100,2976,0.1,1.0,20,0.0001,auto,0.00035898748,3.7487633e-05,0.4357657,0.045055088
0.012758863,0.0010079937,0.012232745,0.0007086942,0.004024047,0.08052977,1.3269857,0.15868275,-0.00060239894,0.010684302,0.40503213,0.039372,1.7279103,0.20726918,1000,100,3792,0.1,1.0,20,0.0001,auto,0.00026741455,3.5360466e-05,0.28293666,0.03266562
0.01064641,0.00084483967,0.012788794,0.0005843525,0.009590859,0.08189213,1.2713177,0.13385223,0.0022003276,0.009586404,0.337769,0.028639534,1.6543751,0.17344771,1000,100,4832,0.1,1.0,20,0.0001,auto,0.00021550931,2.3376602e-05,0.2878779,0.026622318
0.009967356,0.0008052629,0.013929369,0.00063546904,-0.027221812,0.050048307,1.3282007,0.13261707,0.0025819011,0.010452892,0.32238516,0.02727201,1.7310416,0.17285249,1000,100,6158,0.1,1.0,20,0.0001,auto,0.00016815389,2.765091e-05,0.04960711,0.0027835965
0.009064945,0.0010944994,0.014386131,0.00092329714,0.0018069498,0.0757561,1.3087258,0.17330496,0.00066497753,0.008406657,0.29574665,0.035222214,1.7039984,0.22522357,1000,100,7847,0.1,1.0,20,0.0001,auto,0.00012900267,1.7560676e-05,0.019197365,0.0007644582
0.008091057,0.00077058515,0.014576504,0.0006194609,-0.011346527,0.04861626,1.2448252,0.15398428,-0.0016726068,0.0069965217,0.26886892,0.027658546,1.6201485,0.19998354,1000,100,10000,0.1,1.0,20,0.0001,auto,0.000102572565,1.3022806e-05,0.010707609,0.00039767628
