,gen,gensd,train,trainsd,m1,m1sd,m2,m2sd,P,D,N,eps,gamma,T,zeta,solver,lingen,lingensd,quadgen,quadgensd
10,0.20539000000000002,0.013227052,0.19793999,0.015499236000000001,0.7807258,0.14119153,0.5969985999999999,0.099779025,10000,30,146,0.0,0.70710677,10,1e-08,auto,0.23076001,0.020761756,0.054759998,0.0033918134999999998
11,0.20579998,0.012357103999999999,0.19839999,0.013251415,0.72777724,0.11889952,0.7160604,0.10962898,10000,30,171,0.0,0.70710677,10,1e-08,auto,0.23892,0.017109869,0.0555,0.001833576
12,0.19422,0.018284626000000002,0.18393001,0.01773432,0.7827105,0.16528408,0.88416827,0.058473367000000005,10000,30,199,0.0,0.70710677,10,1e-08,auto,0.23626001,0.023217587,0.056330003,0.0028393840000000004
13,0.19307,0.0162602,0.1786,0.01656062,0.740644,0.13614039,1.0401318000000002,0.08973172,10000,30,232,0.0,0.70710677,10,1e-08,auto,0.24138,0.020248398,0.056310005,0.0042821607
14,0.18952999,0.015374787,0.17385,0.013156763,0.70197415,0.11545977,1.2015858,0.109569035,10000,30,271,0.0,0.70710677,10,1e-08,auto,0.24963999,0.019258827,0.056889999999999996,0.0032386563
15,0.17221001,0.009894083,0.15422,0.008178848,0.73895246,0.15290168,1.4335084999999999,0.17294364,10000,30,316,0.0,0.70710677,10,1e-08,auto,0.24431999,0.021832949,0.05665,0.002562909
16,0.16639,0.006796241999999999,0.14584999,0.00899258,0.6911953000000001,0.10047285,1.6168098,0.17440629,10000,30,368,0.0,0.70710677,10,1e-08,auto,0.25001999999999996,0.01557689,0.0576,0.0032536138
17,0.15134999,0.010588223999999999,0.12617001,0.009770984,0.76253307,0.11760663,1.7169302,0.14193097,10000,30,429,0.0,0.70710677,10,1e-08,auto,0.23705001,0.020855516,0.05521,0.0030956259999999998
18,0.14534,0.010266178,0.119330004,0.009921395,0.69735116,0.10270104,2.0922358,0.13320524,10000,30,501,0.0,0.70710677,10,1e-08,auto,0.25219,0.015335675,0.055770002,0.0028702085999999997
19,0.124510005,0.009533043,0.09646,0.0075196014,0.8697014000000001,0.12514436,2.0278199,0.15254068,10000,30,584,0.0,0.70710677,10,1e-08,auto,0.22423,0.016735474,0.056639999999999996,0.0030968369
20,0.11303999,0.006454641,0.08027001,0.004251363,0.88102263,0.111473285,2.1777613,0.1767816,10000,30,681,0.0,0.70710677,10,1e-08,auto,0.22205,0.01775828,0.05686,0.0049447333
21,0.11195,0.008197348,0.07616,0.005358769,0.75769246,0.16013433,2.4629437999999997,0.29092532,10000,30,794,0.0,0.70710677,10,1e-08,auto,0.23961,0.024343432999999998,0.05575,0.0020553588
22,0.110360004,0.0072490275,0.0662,0.0043680659999999994,0.74748665,0.15035146,2.603828,0.21511981,10000,30,926,0.0,0.70710677,10,1e-08,auto,0.24386,0.022764191,0.055940002,0.004533917
23,0.107219994,0.004472539,0.060520000000000004,0.0037386627,0.7502786,0.120994404,2.6504613999999997,0.20768625,10000,30,1079,0.0,0.70710677,10,1e-08,auto,0.24234,0.0200801,0.0561,0.0024137107999999997
24,0.10994999,0.0025315017,0.05563,0.0035746465,0.7982405,0.113181956,2.6027534,0.19477105,10000,30,1258,0.0,0.70710677,10,1e-08,auto,0.23417,0.016802382,0.056179999999999994,0.0034987992
25,0.11010999999999999,0.0041144737,0.049799997,0.003319639,0.772192,0.14739479,2.7358147999999995,0.24902436,10000,30,1467,0.0,0.70710677,10,1e-08,auto,0.23917997,0.021431137000000003,0.055389999999999995,0.0019542016000000002
26,0.11775999999999999,0.0050440454,0.04676,0.0026306657,0.78707874,0.16631284,2.7432315,0.2812167,10000,30,1711,0.0,0.70710677,10,1e-08,auto,0.23877001,0.025824872999999998,0.056720000000000007,0.001876593
27,0.12502,0.0040044496,0.04226,0.0019011569,0.8247706,0.1730776,2.7379012,0.27777979999999997,10000,30,1995,0.0,0.70710677,10,1e-08,auto,0.23592003,0.025041157,0.058879999999999995,0.0016797619
28,0.12987,0.0028369168,0.037789997,0.002702018,0.8214366,0.13327363,2.7277381000000003,0.14858095,10000,30,2326,0.0,0.70710677,10,1e-08,auto,0.23248997,0.0149944285,0.054580002999999995,0.0034660648
29,0.14082,0.006686371,0.033760000000000005,0.0016280048,0.8115169,0.09950867,2.8408537,0.261264,10000,30,2712,0.0,0.70710677,10,1e-08,auto,0.23713,0.018408803,0.055809992999999995,0.0038258212
0,0.15169999,0.0039104996,0.028709997999999997,0.0016777667,0.84418184,0.10698804,2.7572162000000002,0.24266260000000003,10000,30,3162,0.0,0.70710677,10,1e-08,auto,0.23128001,0.015671616,0.054020005999999995,0.0033255973999999997
1,0.16212001,0.0034487111999999998,0.023449998,0.0019205465,0.9254904,0.10938268,2.713469,0.22508334,10000,30,3686,0.0,0.70710677,10,1e-08,auto,0.22714,0.017135708,0.056369998,0.0023528915
2,0.17807999,0.0064976597,0.01815,0.0015685979999999998,0.83378094,0.16149698,2.931553,0.24190234,10000,30,4298,0.0,0.70710677,10,1e-08,auto,0.24148002,0.02101865,0.054520000000000006,0.0024669005
